price,carat,depth,table,x,y,z
5541,1.21,60.2,57.0,6.97,6.91,4.18
4974,1.35,61.2,61.0,7.13,7.08,4.35
3250,0.93,62.3,60.0,6.3,6.23,3.9
450,0.33,59.6,61.0,4.53,4.49,2.69
7553,1.51,62.8,59.0,7.2,7.17,4.51
5128,1.24,62.0,58.0,6.87,6.91,4.27
18559,2.38,62.1,58.0,8.54,8.49,5.29
583,0.37,61.1,60.0,4.63,4.6,2.82
393,0.32,61.9,58.0,4.35,4.38,2.7
7953,1.59,62.6,59.0,7.45,7.43,4.66
611,0.41,61.9,59.0,4.69,4.74,2.92
5096,1.21,61.9,59.0,6.84,6.77,4.21
2863,0.9,59.8,62.0,6.24,6.21,3.72
3058,0.91,61.6,58.0,6.28,6.23,3.85
5778,1.34,62.6,58.0,7.08,7.01,4.41
7844,1.61,61.7,59.0,7.51,7.46,4.62
4422,1.12,58.6,58.0,6.85,6.81,4.0
18020,2.51,62.2,58.0,8.73,8.67,5.41
1080,0.51,61.9,61.0,5.12,5.09,3.16
380,0.31,62.4,60.0,4.29,4.33,2.69
13572,2.01,61.5,60.0,8.13,8.07,4.98
1166,0.62,61.2,59.0,5.42,5.52,3.35
4761,1.19,62.8,57.0,6.78,6.7,4.23
3696,1.1,61.2,57.0,6.66,6.61,4.06
4043,1.04,58.7,58.0,6.68,6.61,3.9
5504,1.23,61.9,55.0,6.94,6.88,4.28
12541,2.01,61.8,61.0,8.06,7.97,4.95
3125,0.93,61.1,59.0,6.34,6.32,3.87
368,0.3,60.6,59.0,4.34,4.38,2.64
6626,1.36,61.9,59.0,7.09,7.06,4.38
4435,1.2,58.0,59.0,6.98,6.92,4.03
488,0.31,62.5,60.0,4.36,4.31,2.71
7553,1.51,60.2,59.0,7.36,7.35,4.43
14867,2.23,61.0,58.0,8.39,8.36,5.11
5951,1.3,61.5,58.0,7.05,7.0,4.32
2043,0.72,61.7,58.0,5.77,5.67,3.53
4856,1.23,62.7,58.0,6.81,6.77,4.26
9939,1.7,62.8,59.0,7.6,7.55,4.76
6342,1.51,62.3,59.0,7.36,7.3,4.57
5815,1.29,60.5,58.0,7.07,6.99,4.25
8887,1.71,60.3,61.0,7.74,7.69,4.65
11966,2.0,62.9,60.0,7.99,7.95,5.01
17053,2.32,62.4,57.0,8.48,8.4,5.27
380,0.31,62.5,60.0,4.31,4.36,2.71
13734,2.04,63.0,58.0,8.02,7.99,5.04
2052,0.76,59.9,59.0,5.94,5.92,3.55
784,0.41,61.9,59.0,4.74,4.69,2.92
5396,1.25,62.2,59.0,6.88,6.86,4.27
473,0.3,61.6,61.0,4.33,4.28,2.65
1814,0.72,62.6,58.0,5.72,5.66,3.56
17168,2.42,61.3,59.0,8.61,8.58,5.27
6254,1.35,60.5,56.0,7.19,7.12,4.33
13675,2.07,61.5,59.0,8.16,8.2,5.03
1233,0.58,59.5,62.0,5.44,5.41,3.23
536,0.34,62.3,60.0,4.49,4.46,2.79
7554,1.53,62.9,59.0,7.34,7.31,4.61
3190,1.01,62.4,60.0,6.45,6.35,3.99
1843,0.7,61.2,60.0,5.7,5.73,3.5
4265,1.11,62.6,59.0,6.6,6.56,4.12
7308,1.5,61.7,56.0,7.33,7.23,4.49
17168,2.42,61.3,59.0,8.61,8.58,5.27
765,0.4,60.9,62.0,4.76,4.73,2.89
1232,0.56,60.9,60.0,5.33,5.27,3.23
10401,2.01,58.6,61.0,8.18,8.14,4.78
1055,0.59,62.7,61.0,5.35,5.28,3.33
13477,2.04,61.4,59.0,8.04,8.14,4.97
3091,0.92,60.9,62.0,6.31,6.26,3.83
13228,2.01,61.5,60.0,8.13,8.07,4.98
6175,1.38,60.2,59.0,7.29,7.19,4.36
7899,1.52,62.0,59.0,7.31,7.28,4.52
12401,2.1,58.3,54.0,8.49,8.45,4.94
417,0.34,62.3,60.0,4.46,4.49,2.79
13162,2.0,60.8,62.0,8.12,8.09,4.93
13667,2.05,62.3,60.0,8.15,8.09,5.06
13687,2.02,62.0,59.0,8.06,8.08,5.0
6157,1.36,58.4,59.0,7.4,7.27,4.28
14933,2.08,60.3,59.0,8.29,8.23,4.98
7763,1.56,61.7,58.0,7.41,7.46,4.59
13675,2.0,61.5,59.0,8.11,8.06,4.97
504,0.32,61.9,59.0,4.38,4.35,2.7
7503,1.5,59.6,60.0,7.38,7.31,4.38
1093,0.53,62.7,56.0,5.18,5.15,3.24
7455,1.51,63.0,57.0,7.38,7.29,4.62
2905,0.91,62.8,59.0,6.19,6.14,3.87
363,0.31,60.9,60.0,4.36,4.38,2.66
1917,0.81,61.4,60.0,5.98,5.94,3.66
675,0.4,61.4,58.0,4.79,4.76,2.93
12209,2.01,60.7,61.0,8.15,8.1,4.93
2199,0.79,59.1,57.0,6.08,6.06,3.59
16004,2.25,61.8,61.0,8.46,8.39,5.21
3187,0.96,62.9,59.0,6.3,6.22,3.94
4326,1.16,62.2,58.0,6.75,6.68,4.18
9793,2.01,61.7,60.0,8.12,8.09,5.0
12862,2.03,62.1,59.0,8.06,8.12,5.02
13930,2.1,62.9,58.0,8.15,8.09,5.11
5446,1.31,59.4,60.0,7.06,7.12,4.21
5569,1.3,61.0,59.0,7.09,7.01,4.3
3528,1.0,61.9,62.0,6.36,6.33,3.93
13746,2.15,62.4,60.0,8.24,8.18,5.12
14129,2.23,62.4,59.0,8.33,8.36,5.21
4838,1.2,61.4,59.0,6.87,6.82,4.2
2873,0.9,60.9,61.0,6.26,6.22,3.8
480,0.32,63.0,58.0,4.35,4.32,2.73
6857,1.72,62.0,56.0,7.76,7.7,4.79
2863,0.91,59.5,62.0,6.4,6.18,3.74
2088,0.8,60.0,60.0,6.1,5.97,3.66
4770,1.21,59.9,60.0,6.89,6.86,4.12
4687,1.24,61.8,58.0,6.9,6.86,4.25
4173,1.08,61.0,60.0,6.62,6.57,4.02
11638,2.33,61.1,58.0,8.6,8.56,5.24
1785,0.72,62.0,58.0,5.74,5.77,3.57
14328,2.16,60.5,59.0,8.41,8.35,5.07
7589,1.54,61.2,59.0,7.45,7.41,4.55
1827,0.7,63.0,56.0,5.66,5.61,3.55
6976,1.51,61.2,62.0,7.36,7.32,4.49
5546,1.31,59.4,60.0,7.12,7.06,4.21
4838,1.2,60.6,59.0,6.88,6.84,4.16
4113,1.2,62.8,58.0,6.77,6.7,4.23
10885,1.9,61.9,57.0,7.98,7.95,4.93
17186,2.56,61.4,58.0,8.76,8.73,5.37
4657,1.2,61.5,59.0,6.84,6.81,4.2
3141,0.9,60.4,59.0,6.27,6.24,3.78
2083,0.82,62.2,58.0,5.98,5.94,3.71
4214,1.13,61.3,59.0,6.77,6.67,4.12
5480,1.31,62.5,55.0,7.05,6.97,4.38
12048,2.01,60.9,58.0,8.15,8.07,4.94
5438,1.3,61.8,59.0,6.99,6.95,4.31
4098,1.08,61.0,60.0,6.57,6.62,4.02
4475,1.31,60.7,58.0,7.11,7.06,4.3
4492,1.21,59.7,60.0,6.9,6.93,4.13
13069,2.23,62.1,59.0,8.29,8.33,5.16
541,0.36,61.3,60.0,4.59,4.52,2.79
4064,1.12,62.7,55.0,6.65,6.61,4.16
5266,1.21,62.2,57.0,6.84,6.76,4.23
12048,2.01,62.3,59.0,8.03,7.97,4.98
410,0.36,61.6,60.0,4.54,4.58,2.81
7258,1.5,61.7,59.0,7.36,7.32,4.53
1827,0.7,61.3,59.0,5.75,5.73,3.52
7441,1.51,63.0,58.0,7.32,7.28,4.6
1838,0.8,61.4,57.0,5.98,5.95,3.66
2010,0.77,61.8,59.0,5.86,5.82,3.61
1579,0.72,60.4,61.0,5.87,5.82,3.53
2873,0.9,61.8,58.0,6.16,6.13,3.8
4423,1.17,61.9,58.0,6.77,6.73,4.18
1735,0.7,61.3,59.0,5.73,5.75,3.52
465,0.31,61.9,59.0,4.32,4.28,2.66
9271,1.73,60.7,58.0,7.78,7.73,4.71
7638,1.55,62.5,58.0,7.4,7.36,4.61
7550,1.6,62.2,58.0,7.48,7.54,4.67
6126,1.53,60.1,59.0,7.52,7.5,4.51
453,0.31,59.4,62.0,4.43,4.39,2.62
1958,0.75,61.7,56.0,5.92,5.81,3.62
6806,1.5,60.5,59.0,7.38,7.47,4.49
3276,1.0,62.0,62.0,6.27,6.22,3.87
480,0.32,61.6,58.0,4.4,4.36,2.7
4649,1.23,61.9,54.0,6.89,6.86,4.26
1125,0.5,60.7,58.0,5.13,5.11,3.11
4064,1.12,62.3,57.0,6.72,6.61,4.15
5080,1.26,61.8,58.0,6.91,6.88,4.26
3712,1.0,60.8,58.0,6.39,6.44,3.9
13864,2.09,62.2,59.0,8.23,8.16,5.1
10709,1.83,60.4,58.0,7.96,7.94,4.8
8690,1.71,61.7,59.0,7.63,7.7,4.73
3444,1.02,58.9,62.0,6.51,6.43,3.81
15323,2.31,61.1,60.0,8.58,8.51,5.22
2858,0.92,62.9,58.0,6.22,6.18,3.9
5876,1.31,59.6,59.0,7.16,7.13,4.26
12369,2.01,60.5,59.0,8.12,8.01,4.88
8848,1.71,62.9,58.0,7.64,7.58,4.79
5207,1.26,61.7,58.0,6.99,6.91,4.29
3524,1.11,59.5,58.0,6.89,6.77,4.07
5042,1.22,61.9,58.0,6.87,6.84,4.24
1931,0.74,61.6,59.0,5.82,5.77,3.57
12690,2.01,60.5,59.0,8.12,8.01,4.88
2321,0.87,61.4,57.0,6.17,6.14,3.78
4490,1.31,60.3,62.0,7.12,7.04,4.26
1904,0.76,58.4,59.0,6.01,5.97,3.51
3856,1.02,63.0,58.0,6.44,6.39,4.04
13731,2.07,61.7,60.0,8.23,8.15,5.05
6680,1.51,60.4,62.0,7.42,7.32,4.45
3416,1.0,62.7,57.0,6.4,6.33,3.99
465,0.31,60.9,60.0,4.38,4.36,2.66
3269,0.96,60.3,59.0,6.4,6.36,3.85
1690,0.71,62.4,61.0,5.68,5.63,3.53
7255,1.51,60.6,57.0,7.46,7.38,4.5
3792,1.14,62.4,59.0,6.7,6.62,4.16
9205,1.79,60.9,60.0,7.79,7.83,4.76
4269,1.21,62.6,58.0,6.74,6.71,4.21
4460,1.18,62.5,55.0,6.82,6.74,4.24
5114,1.26,61.7,58.0,6.91,6.99,4.29
4939,1.4,62.9,59.0,7.16,7.07,4.48
14258,2.23,62.4,59.0,8.36,8.33,5.21
4514,1.2,60.7,60.0,6.88,6.92,4.19
465,0.31,62.7,59.0,4.32,4.29,2.7
658,0.38,61.3,59.0,4.68,4.62,2.85
4391,1.21,62.7,57.0,6.77,6.72,4.23
2168,0.82,61.2,58.0,5.99,6.04,3.68
11188,2.01,60.3,56.0,8.02,7.96,4.82
1020,0.51,62.6,59.0,5.1,5.06,3.18
3780,1.0,60.8,58.0,6.44,6.39,3.9
12308,2.0,62.2,59.0,7.97,7.92,4.94
7654,1.58,59.8,58.0,7.61,7.57,4.54
7822,1.51,59.9,60.0,7.46,7.41,4.45
5028,1.54,61.1,58.0,7.48,7.41,4.55
3780,1.0,62.8,59.0,6.37,6.27,3.97
4036,1.04,60.2,56.0,6.61,6.54,3.96
7757,1.71,61.9,58.0,7.62,7.56,4.7
956,0.51,61.7,56.0,5.17,5.14,3.18
14711,2.33,59.9,59.0,8.7,8.65,5.2
1844,0.7,62.8,59.0,5.65,5.6,3.53
8487,1.66,60.7,58.0,7.72,7.63,4.66
18485,2.57,63.0,58.0,8.77,8.65,5.49
9165,1.73,61.0,59.0,7.75,7.68,4.71
12369,2.01,59.3,62.0,8.2,8.15,4.85
5121,1.27,61.8,58.0,6.97,6.91,4.29
7502,1.55,62.5,58.0,7.36,7.4,4.61
4153,1.03,61.7,54.0,6.56,6.5,4.03
5073,1.25,62.0,58.0,6.88,6.9,4.27
17452,2.51,59.6,60.0,8.84,8.79,5.25
1188,0.66,61.0,61.0,5.64,5.59,3.43
4574,1.21,59.7,60.0,6.93,6.9,4.13
7034,1.51,62.3,58.0,7.3,7.33,4.56
2199,0.81,61.8,57.0,6.02,5.96,3.7
1181,0.63,61.9,59.0,5.49,5.47,3.39
4222,1.16,62.5,58.0,6.73,6.67,4.19
13219,2.01,63.0,57.0,8.07,8.0,5.06
16304,2.4,59.7,58.0,8.75,8.71,5.21
12979,2.03,62.1,59.0,8.12,8.06,5.02
12431,2.02,61.6,58.0,8.14,8.1,5.0
12492,2.03,60.1,58.0,8.26,8.21,4.95
2283,0.82,61.2,58.0,6.04,5.99,3.68
5290,1.28,61.9,56.0,7.13,7.0,4.37
8324,1.72,61.7,58.0,7.71,7.81,4.79
2227,0.8,60.1,57.0,6.03,5.98,3.61
1954,0.78,63.0,60.0,5.88,5.82,3.66
1909,0.77,61.8,59.0,5.82,5.86,3.61
3856,1.02,61.8,58.0,6.5,6.44,4.0
13938,2.18,62.9,59.0,8.25,8.21,5.18
7314,1.51,58.4,60.0,7.58,7.53,4.41
12364,2.38,62.4,58.0,8.54,8.46,5.31
365,0.32,62.2,59.0,4.37,4.41,2.73
4082,1.35,62.1,54.0,7.15,7.09,4.42
1924,0.79,58.8,62.0,6.03,6.01,3.54
1348,0.55,60.5,59.0,5.33,5.28,3.21
6367,1.52,61.0,59.0,7.41,7.35,4.5
4717,1.2,60.0,61.0,6.89,6.84,4.12
513,0.38,61.3,59.0,4.62,4.68,2.85
3658,1.01,61.9,59.0,6.38,6.34,3.94
13642,2.21,62.7,57.0,8.33,8.25,5.2
5624,1.64,63.0,58.0,7.54,7.49,4.74
4064,1.44,58.2,58.0,7.39,7.35,4.29
6031,1.57,59.6,56.0,7.59,7.5,4.5
1305,0.71,61.8,54.0,5.74,5.7,3.53
4553,1.28,62.3,58.0,6.89,6.94,4.31
6635,1.55,62.6,60.0,7.36,7.3,4.59
5351,1.5,61.3,59.0,7.38,7.33,4.51
11663,2.11,62.0,60.0,8.19,8.24,5.09
6712,1.51,61.9,56.0,7.44,7.29,4.56
3149,1.03,62.2,59.0,6.42,6.4,3.99
13560,2.3,59.7,58.0,8.63,8.68,5.17
11165,2.02,62.1,60.0,7.98,8.09,4.99
3563,1.01,62.5,62.0,6.41,6.36,3.99
2807,0.93,61.9,57.0,6.21,6.19,3.84
12770,2.23,60.5,61.0,8.47,8.4,5.1
4018,1.25,61.3,58.0,6.98,6.95,4.27
867,0.47,61.9,59.0,4.99,4.96,3.08
3599,1.02,62.6,60.0,6.42,6.39,4.01
3782,1.2,61.7,57.0,6.85,6.79,4.21
11106,2.0,60.9,54.0,8.17,8.12,4.96
1667,0.72,60.3,58.0,5.81,5.73,3.48
13355,2.19,61.8,60.0,8.35,8.25,5.13
4685,1.2,58.7,59.0,6.99,6.94,4.09
4666,1.24,62.2,58.0,6.94,6.82,4.28
4198,1.19,58.4,60.0,6.98,6.92,4.06
5284,1.37,61.9,59.0,7.1,7.05,4.38
18710,3.01,59.7,58.0,9.41,9.32,5.59
16198,2.42,62.3,58.0,8.63,8.55,5.35
941,0.57,62.7,60.0,5.25,5.21,3.28
7652,1.68,59.2,57.0,7.83,7.72,4.6
2683,1.01,59.3,56.0,6.51,6.45,3.84
13827,2.24,62.2,59.0,8.37,8.33,5.19
2022,0.8,60.2,59.0,6.07,5.95,3.62
5156,1.37,60.7,60.0,7.19,7.07,4.33
10306,2.14,58.4,58.0,8.52,8.5,4.97
4690,1.25,61.5,57.0,7.0,6.93,4.28
12554,2.11,60.7,60.0,8.27,8.2,5.0
3861,1.14,60.4,59.0,6.8,6.74,4.09
6223,1.47,60.0,58.0,7.36,7.31,4.4
2801,1.0,62.3,58.0,6.45,6.34,3.98
6387,1.46,60.1,58.0,7.43,7.34,4.44
3603,1.04,62.0,59.0,6.47,6.49,4.02
3455,1.02,61.4,60.0,6.5,6.44,3.97
13326,2.14,61.5,59.0,8.3,8.25,5.11
1609,0.71,60.7,59.0,5.75,5.71,3.48
5140,1.3,61.1,61.0,7.0,6.95,4.26
12380,2.03,61.6,58.0,8.15,8.12,5.01
12380,2.03,62.7,59.0,8.08,8.02,5.05
13556,2.17,62.3,58.0,8.31,8.26,5.16
12407,2.01,62.8,58.0,8.09,8.0,5.05
3733,1.01,61.2,59.0,6.43,6.37,3.92
12140,2.12,62.3,61.0,8.21,8.16,5.1
4132,1.22,62.2,60.0,6.89,6.77,4.25
3119,1.02,62.3,58.0,6.42,6.37,3.98
2022,0.78,60.6,58.0,5.94,5.91,3.59
10179,2.19,58.8,58.0,8.57,8.53,5.03
4022,1.14,62.3,56.0,6.73,6.66,4.17
12494,2.1,59.1,58.0,8.46,8.4,4.98
11463,2.02,62.7,60.0,7.98,8.1,5.04
11899,2.0,61.9,55.0,8.09,8.06,5.0
12078,2.03,60.9,60.0,8.21,8.1,4.97
4177,1.2,61.8,56.0,6.85,6.81,4.22
9728,2.02,59.7,56.0,8.18,8.13,4.87
7245,1.61,62.2,59.0,7.52,7.47,4.66
8889,1.78,62.6,58.0,7.78,7.72,4.85
4160,1.32,61.2,59.0,7.08,7.04,4.32
12970,2.18,62.6,58.0,8.25,8.23,5.16
3499,1.01,61.8,60.0,6.37,6.41,3.95
12078,2.03,61.7,61.0,8.18,8.04,5.0
4410,1.25,62.3,59.0,6.86,6.82,4.26
10716,2.38,60.6,59.0,8.66,8.63,5.24
4509,1.22,62.1,59.0,6.82,6.77,4.22
16278,2.51,59.3,58.0,8.83,8.87,5.25
2683,1.01,58.3,62.0,6.49,6.43,3.77
14666,2.32,62.5,58.0,8.47,8.43,5.28
3697,1.31,59.7,59.0,7.06,7.01,4.2
16532,2.47,59.4,59.0,8.85,8.79,5.24
13395,2.17,62.3,60.0,8.33,8.2,5.15
5038,1.26,62.7,58.0,6.95,6.9,4.34
12048,2.01,60.8,58.0,8.19,8.13,4.96
405,0.3,59.3,61.0,4.43,4.38,2.61
3634,1.03,62.8,58.0,6.48,6.41,4.05
13065,2.2,60.9,60.0,8.42,8.34,5.1
900,0.49,59.8,59.0,5.14,5.12,3.07
3391,1.06,62.9,59.0,6.43,6.39,4.03
12440,2.11,61.0,58.0,8.2,8.29,5.03
3216,1.1,60.0,58.0,6.77,6.66,4.03
5310,1.36,62.6,58.0,7.12,7.0,4.42
16198,2.42,62.4,58.0,8.58,8.53,5.34
1588,0.75,62.9,56.0,5.76,5.72,3.61
8540,1.71,62.6,57.0,7.62,7.58,4.76
16198,2.42,58.5,59.0,8.85,8.82,5.17
4660,1.27,60.4,58.0,7.04,7.0,4.24
13205,2.14,61.5,59.0,8.25,8.3,5.11
12327,2.21,60.6,62.0,8.45,8.37,5.1
3457,1.05,60.9,60.0,6.59,6.51,3.99
12554,2.11,61.0,58.0,8.29,8.2,5.03
6048,1.5,61.0,60.0,7.34,7.3,4.46
3421,1.01,63.0,60.0,6.38,6.31,4.0
12268,2.03,61.6,58.0,8.12,8.15,5.01
13133,2.01,60.8,57.2,8.13,8.15,4.95
13092,2.09,60.0,60.0,8.32,8.37,5.01
4197,1.18,61.3,60.0,6.78,6.83,4.17
11899,2.0,59.8,60.0,8.13,8.09,4.85
13148,2.13,62.6,58.0,8.21,8.18,5.13
4105,1.07,62.4,58.0,6.54,6.47,4.06
17209,2.6,58.3,61.0,9.05,8.94,5.24
720,0.45,60.9,57.0,4.95,4.9,3.05
7650,1.7,63.0,60.0,7.59,7.53,4.76
4093,1.13,59.7,59.0,6.85,6.76,4.06
2898,1.12,60.6,59.0,6.68,6.61,4.03
3823,1.06,62.0,58.0,6.53,6.45,4.04
8640,2.02,63.0,58.0,8.07,8.02,5.07
3984,1.21,60.8,58.0,6.93,6.88,4.19
13703,2.22,61.8,58.0,8.42,8.31,5.17
3293,1.0,62.7,58.0,6.32,6.28,3.95
8690,1.74,59.7,57.0,7.88,7.8,4.68
3499,1.01,61.7,58.0,6.4,6.44,3.96
533,0.32,61.2,59.0,4.41,4.44,2.71
18594,2.29,61.4,60.0,8.49,8.45,5.2
9424,1.53,61.1,58.0,7.41,7.45,4.54
2264,0.7,60.5,59.0,5.73,5.67,3.45
10165,1.61,62.1,58.0,7.47,7.53,4.66
10350,1.61,62.1,58.0,7.53,7.47,4.66
9596,1.53,61.1,58.0,7.45,7.41,4.54
1063,0.4,62.2,61.0,4.71,4.68,2.92
2150,0.7,60.5,59.0,5.67,5.73,3.45
5370,1.37,60.0,62.0,7.24,7.21,4.33
8205,1.53,62.8,59.0,7.34,7.31,4.6
8258,1.52,62.0,59.0,7.36,7.34,4.56
2148,0.76,61.1,58.0,5.85,5.91,3.59
11050,1.74,62.5,58.0,7.67,7.65,4.79
14399,2.35,60.7,60.0,8.64,8.6,5.23
5556,1.21,59.5,60.0,6.99,6.9,4.13
16174,2.28,60.3,58.0,8.58,8.53,5.16
506,0.3,62.6,60.0,4.28,4.22,2.66
8258,1.52,62.4,59.0,7.36,7.31,4.58
5518,1.27,62.6,59.0,6.88,6.92,4.32
8870,1.6,61.3,59.0,7.49,7.52,4.6
15064,2.2,61.7,59.0,8.3,8.34,5.13
5209,1.23,60.1,60.0,6.9,6.95,4.16
7144,1.56,61.3,59.0,7.54,7.49,4.61
2005,0.7,60.9,58.0,5.73,5.66,3.47
631,0.4,59.7,59.0,4.79,4.83,2.87
1875,0.72,63.0,56.0,5.72,5.67,3.59
5412,1.23,62.7,58.0,6.79,6.82,4.27
8110,1.52,62.4,59.0,7.31,7.36,4.58
830,0.41,62.1,58.0,4.79,4.75,2.96
9836,1.64,60.6,59.0,7.67,7.61,4.63
506,0.3,62.6,58.0,4.31,4.28,2.69
16025,2.23,61.7,58.0,8.41,8.34,5.17
506,0.3,61.9,56.0,4.32,4.28,2.66
506,0.3,62.7,59.0,4.28,4.24,2.67
647,0.41,62.1,58.0,4.75,4.79,2.96
506,0.3,63.0,59.0,4.27,4.24,2.68
830,0.41,62.0,55.0,4.77,4.74,2.95
810,0.4,63.0,58.0,4.7,4.66,2.95
3640,1.0,59.7,62.0,6.52,6.46,3.87
9296,2.0,63.0,58.0,8.04,7.99,5.05
8371,1.51,62.1,58.0,7.36,7.4,4.58
8524,1.51,62.1,58.0,7.4,7.36,4.58
9240,1.5,62.8,59.0,7.29,7.19,4.55
5107,1.2,59.1,61.0,7.0,6.94,4.12
1998,0.75,61.6,57.0,5.88,5.84,3.61
540,0.32,60.6,59.0,4.46,4.42,2.69
3175,0.9,62.3,56.0,6.23,6.19,3.87
506,0.3,62.6,58.0,4.32,4.27,2.69
1953,0.7,59.6,62.0,5.77,5.7,3.42
8580,1.52,62.2,59.0,7.38,7.32,4.57
600,0.38,62.1,60.0,4.6,4.64,2.87
5510,1.23,62.7,58.0,6.82,6.79,4.27
6334,1.3,61.6,56.0,7.06,7.0,4.33
2262,0.76,61.1,58.0,5.91,5.85,3.59
810,0.4,59.7,59.0,4.83,4.79,2.87
14224,2.05,62.4,58.0,8.08,8.13,5.06
3957,1.03,61.8,58.0,6.51,6.41,3.99
5463,1.29,61.7,59.0,6.93,6.97,4.29
15067,2.05,60.1,58.0,8.25,8.19,4.94
506,0.3,61.2,61.0,4.33,4.3,2.64
2350,0.81,61.7,61.0,5.94,5.9,3.65
6236,1.31,62.3,56.0,7.06,6.99,4.38
2292,0.8,60.8,59.0,6.0,5.94,3.63
8324,1.56,61.1,59.0,7.49,7.52,4.58
394,0.3,62.6,58.0,4.27,4.32,2.69
4303,1.09,59.3,57.0,6.79,6.74,4.01
5618,1.27,62.6,59.0,6.92,6.88,4.32
2005,0.77,62.2,61.0,5.85,5.82,3.63
11329,1.8,58.2,61.0,8.07,7.95,4.66
16994,2.27,62.4,58.0,8.36,8.41,5.23
5740,1.25,62.2,58.0,6.92,6.88,4.29
4873,1.13,61.1,59.0,6.74,6.67,4.1
591,0.35,62.2,58.0,4.54,4.49,2.81
5489,1.21,60.0,60.0,6.95,6.88,4.15
11970,2.24,60.9,58.0,8.46,8.41,5.14
523,0.31,60.7,60.0,4.39,4.34,2.65
7903,1.6,62.6,59.0,7.51,7.4,4.66
4032,1.0,62.8,57.0,6.39,6.35,4.0
830,0.41,60.8,61.0,4.79,4.72,2.89
8749,1.55,62.6,59.0,7.4,7.35,4.62
14588,2.03,59.3,60.0,8.36,8.28,4.93
8216,1.52,61.2,59.0,7.36,7.39,4.51
15185,2.01,60.1,59.0,8.25,8.18,4.94
631,0.4,60.7,60.0,4.76,4.79,2.9
9014,1.52,62.5,58.0,7.37,7.34,4.6
17451,2.31,62.3,61.0,8.55,8.43,5.29
