,price,carat,cut,color,clarity,depth,table,x,y,z,city
204,576.0,0.25,Very Good,F,VVS2,62.0,59.0,3.99,4.04,2.49,Luxembourg
205,5347.0,1.1,Ideal,H,VS2,60.5,57.0,6.73,6.7,4.06,Kimberly
206,7708.0,1.03,Ideal,G,VVS1,61.7,56.0,6.45,6.56,4.0,Paris
207,10144.0,1.1,Ideal,D,VS1,61.9,56.0,6.58,6.61,4.09,Dubai
208,2351.0,0.73,Premium,F,SI2,60.5,57.0,5.84,5.8,3.52,Luxembourg
209,2487.0,0.71,Ideal,H,VS1,60.3,59.0,5.75,5.79,3.48,Surat
210,4407.0,0.7,Good,D,VVS1,61.0,61.0,5.69,5.72,3.48,Kimberly
211,12255.0,1.33,Ideal,G,VVS1,62.2,54.0,7.02,7.06,4.38,Antwerp
212,5506.0,1.15,Premium,H,SI1,62.0,58.0,6.77,6.66,4.16,Antwerp
213,2896.0,0.53,Ideal,F,VVS1,61.6,56.0,5.18,5.24,3.21,Zurich
214,8693.0,1.05,Premium,F,VVS2,61.3,59.0,6.56,6.48,4.0,New York City
215,1608.0,0.57,Premium,G,VS2,59.7,59.0,5.37,5.41,3.22,Paris
216,3638.0,0.91,Very Good,E,SI2,60.3,59.0,6.28,6.25,3.78,Surat
217,8693.0,1.2,Premium,D,VS2,61.6,60.0,6.78,6.72,4.16,Kimberly
218,5161.0,1.05,Premium,H,SI1,59.3,58.0,6.65,6.61,3.93,Zurich
219,641.0,0.34,Ideal,F,VS2,62.2,55.0,4.47,4.5,2.79,Kimberly
220,5439.0,1.19,Premium,I,VS2,61.7,57.0,6.84,6.77,4.2,Antwerp
221,942.0,0.53,Good,I,SI2,63.6,58.0,5.08,5.11,3.24,Paris
222,9625.0,1.11,Ideal,E,VS2,61.0,57.0,6.65,6.7,4.08,Amsterdam
223,918.0,0.32,Ideal,G,IF,61.1,57.0,4.41,4.43,2.7,New York City
224,807.0,0.36,Ideal,F,VS2,61.5,55.0,4.6,4.57,2.82,Antwerp
225,4454.0,1.03,Ideal,F,SI2,61.8,56.0,6.49,6.46,4.0,Madrid
226,668.0,0.33,Premium,I,VS1,59.5,60.0,4.54,4.5,2.69,London
227,2956.0,0.7,Very Good,F,VS2,62.4,57.0,5.67,5.71,3.55,Paris
228,900.0,0.32,Ideal,E,VS2,62.0,55.0,4.46,4.38,2.74,London
229,17476.0,2.01,Very Good,H,SI1,60.1,60.0,8.25,8.2,4.94,Antwerp
230,645.0,0.32,Ideal,G,VS1,61.2,56.0,4.39,4.43,2.7,Las Vegas
231,3246.0,0.9,Good,G,SI2,64.1,56.0,6.12,6.08,3.91,London
232,7781.0,1.08,Ideal,F,VS2,61.0,57.0,6.61,6.68,4.06,Tel Aviv
233,907.0,0.31,Ideal,H,VVS1,61.8,57.0,4.35,4.32,2.68,Las Vegas
234,5241.0,1.02,Premium,H,VS2,61.8,58.0,6.49,6.43,3.99,Antwerp
235,984.0,0.35,Ideal,E,VS2,61.6,55.0,4.54,4.49,2.78,Surat
236,586.0,0.32,Ideal,F,SI1,60.9,55.0,4.46,4.53,2.72,Dubai
237,14659.0,2.53,Premium,H,SI2,62.6,60.0,8.66,8.55,5.39,Surat
238,1668.0,0.55,Ideal,E,SI1,61.4,55.0,5.29,5.26,3.24,Kimberly
239,2211.0,0.58,Ideal,H,IF,61.6,57.0,5.34,5.37,3.3,Kimberly
240,1622.0,0.52,Premium,E,VS2,60.6,58.0,5.23,5.2,3.16,Amsterdam
241,3380.0,0.7,Good,G,VVS1,58.5,62.0,5.8,5.82,3.4,Zurich
242,1401.0,0.52,Ideal,H,VS2,61.3,55.0,5.2,5.24,3.2,Paris
243,764.0,0.3,Ideal,G,VVS1,62.7,54.0,4.3,4.34,2.71,Las Vegas
244,3041.0,0.71,Ideal,F,VS1,61.7,55.0,5.73,5.77,3.55,New York City
245,917.0,0.4,Ideal,G,VVS2,62.6,53.0,4.72,4.77,2.97,Kimberly
246,2611.0,1.02,Ideal,J,SI2,61.6,55.0,6.49,6.43,3.98,Kimberly
247,810.0,0.33,Very Good,F,VVS2,62.5,59.0,4.4,4.47,2.77,New York City
248,717.0,0.32,Very Good,F,VVS2,62.0,55.0,4.38,4.42,2.73,Surat
249,14256.0,1.5,Very Good,E,VS2,62.1,60.0,7.27,7.31,4.53,London
250,6058.0,1.02,Good,G,VS2,63.2,57.0,6.38,6.41,4.04,Kimberly
251,1129.0,0.33,Ideal,E,IF,61.9,57.0,4.41,4.45,2.74,Paris
252,2134.0,0.65,Premium,D,SI1,60.5,58.0,5.61,5.57,3.38,Kimberly
253,873.0,0.3,Ideal,F,IF,59.8,58.0,4.37,4.46,2.64,Dubai
254,5529.0,1.21,Premium,G,SI2,60.3,58.0,6.96,6.9,4.18,Luxembourg
255,2487.0,0.7,Ideal,I,VVS2,62.7,54.0,5.65,5.69,3.55,Kimberly
256,1443.0,0.51,Premium,G,VS2,61.3,59.0,5.17,5.11,3.15,Kimberly
257,16921.0,1.54,Premium,D,VS2,62.7,59.0,7.33,7.29,4.58,Antwerp
258,792.0,0.43,Very Good,F,SI1,61.6,59.0,4.83,4.87,2.99,Madrid
259,780.0,0.33,Premium,I,VVS1,61.9,60.0,4.44,4.41,2.74,Tel Aviv
260,3972.0,0.9,Good,I,VVS1,62.4,61.0,6.05,6.09,3.79,London
261,871.0,0.31,Ideal,G,IF,61.9,56.0,4.33,4.35,2.68,Tel Aviv
262,11650.0,1.54,Very Good,F,SI1,58.8,60.0,7.54,7.59,4.45,Tel Aviv
263,2054.0,0.62,Ideal,E,SI1,61.7,54.0,5.53,5.49,3.4,Dubai
264,4304.0,0.9,Very Good,D,SI1,63.5,57.0,6.15,6.11,3.89,Antwerp
265,651.0,0.36,Ideal,H,VS1,61.5,55.0,4.59,4.62,2.83,Dubai
266,1114.0,0.3,Ideal,F,VVS1,62.1,55.0,4.32,4.31,2.68,Madrid
267,7722.0,1.4,Premium,I,VS1,61.6,59.0,7.22,7.17,4.43,Amsterdam
268,10255.0,1.7,Very Good,H,SI2,60.8,56.0,7.67,7.72,4.68,Antwerp
269,3226.0,0.9,Fair,H,VS2,65.5,57.0,6.05,6.01,3.95,Kimberly
270,730.0,0.32,Premium,G,VVS2,61.2,59.0,4.39,4.44,2.7,Zurich
271,1002.0,0.33,Ideal,E,VS1,62.7,57.0,4.45,4.38,2.77,Tel Aviv
272,2523.0,0.73,Very Good,E,SI1,63.3,60.0,5.65,5.7,3.59,Luxembourg
273,10688.0,1.51,Premium,G,SI1,62.4,62.0,7.25,7.12,4.48,Paris
274,3752.0,1.0,Premium,E,SI2,61.0,59.0,6.4,6.33,3.89,Surat
275,4316.0,1.04,Very Good,H,SI1,63.1,58.0,6.43,6.37,4.04,Zurich
276,8870.0,1.21,Premium,F,VS2,60.1,55.0,7.01,6.91,4.18,Dubai
277,2946.0,0.72,Ideal,H,VVS1,62.5,57.0,5.7,5.73,3.57,Madrid
278,3002.0,0.83,Very Good,E,SI1,62.1,58.0,6.01,6.04,3.74,Paris
279,4883.0,1.17,Ideal,J,SI1,62.3,55.0,6.74,6.77,4.21,Dubai
280,598.0,0.28,Ideal,F,VS1,62.0,57.0,4.19,4.23,2.61,Amsterdam
281,1813.0,0.53,Ideal,E,VS2,62.4,56.0,5.2,5.16,3.23,Surat
282,3276.0,1.0,Very Good,I,SI2,60.8,63.0,6.41,6.34,3.88,London
283,1294.0,0.46,Premium,E,VS1,62.0,58.0,4.95,4.98,3.08,London
284,803.0,0.34,Ideal,D,SI1,60.6,56.0,4.54,4.51,2.74,Surat
285,658.0,0.3,Very Good,E,VS2,62.9,58.0,4.22,4.24,2.66,Surat
286,6666.0,1.01,Very Good,E,VS2,60.4,58.0,6.47,6.51,3.92,Tel Aviv
287,6738.0,1.26,Ideal,G,SI1,59.6,57.0,7.08,7.04,4.21,Antwerp
288,819.0,0.36,Ideal,F,VS1,61.6,56.0,4.62,4.64,2.85,Surat
289,12257.0,2.01,Good,J,SI1,63.6,59.0,7.96,8.01,5.08,Kimberly
290,882.0,0.4,Very Good,E,SI1,63.5,57.0,4.72,4.7,2.99,Dubai
291,663.0,0.42,Ideal,J,VS1,60.9,57.0,4.83,4.86,2.95,New York City
292,3423.0,0.91,Premium,G,SI2,61.3,60.0,6.17,6.2,3.79,Las Vegas
293,2096.0,0.51,Ideal,G,IF,62.4,54.0,5.12,5.17,3.21,Surat
294,758.0,0.32,Very Good,D,VS2,62.5,57.0,4.34,4.39,2.73,New York City
295,15278.0,1.77,Premium,E,VS2,61.6,58.0,7.78,7.71,4.77,Las Vegas
296,737.0,0.3,Premium,F,VVS2,61.6,58.0,4.28,4.35,2.66,Dubai
297,7915.0,1.51,Very Good,D,SI2,63.2,59.0,7.25,7.18,4.56,London
