,price,carat,depth,table,x,y,z,city,clarity,color,cut
43,2399,0.7,60.3,63.0,5.77,5.73,3.47,New York City,VS1,H,Very Good
44,513,0.31,61.3,55.6,4.37,4.4,2.69,Surat,VS1,I,Ideal
45,1549,0.52,61.9,55.0,5.15,5.18,3.2,London,VS2,G,Ideal
46,878,0.3,63.4,57.0,4.31,4.27,2.72,Tel Aviv,VVS1,H,Very Good
47,3679,1.0,63.9,60.0,6.26,6.19,3.98,Luxembourg,SI1,J,Good
48,13839,1.59,60.7,56.0,7.54,7.58,4.59,Surat,VS1,H,Ideal
49,5113,1.01,63.7,60.0,6.32,6.28,4.01,Dubai,SI1,G,Good
50,628,0.34,62.6,56.0,4.48,4.46,2.8,Kimberly,SI1,H,Ideal
51,816,0.31,60.8,57.0,4.36,4.39,2.66,Zurich,VVS2,E,Ideal
52,3434,0.74,61.2,56.0,5.82,5.85,3.57,Kimberly,VS2,G,Ideal
53,5455,1.08,61.8,54.0,6.6,6.57,4.07,London,VS2,I,Ideal
54,2898,0.79,62.3,57.0,5.9,5.85,3.66,Dubai,SI1,G,Ideal
55,776,0.3,61.5,57.0,4.34,4.31,2.66,Madrid,VVS2,H,Ideal
56,7887,1.33,62.2,56.0,7.01,7.04,4.37,Zurich,VVS2,I,Ideal
57,1342,0.58,61.2,57.0,5.36,5.4,3.29,Surat,SI2,D,Ideal
58,2440,0.78,63.7,60.0,5.77,5.73,3.66,London,VS2,H,Good
59,14456,1.65,60.8,56.0,7.65,7.7,4.67,Antwerp,VS2,G,Ideal
60,1975,0.55,61.2,56.4,5.28,5.33,3.25,New York City,VS1,F,Very Good
61,9801,1.64,60.7,55.0,7.67,7.64,4.65,Dubai,SI1,E,Ideal
62,658,0.3,62.5,59.0,4.27,4.3,2.68,New York City,VS2,E,Premium
63,1076,0.41,61.7,56.0,4.81,4.78,2.96,Paris,VS2,D,Ideal
64,752,0.3,62.4,58.0,4.26,4.3,2.67,Antwerp,VVS2,D,Premium
65,6121,1.1,59.6,60.0,6.72,6.7,4.0,Surat,VS2,G,Premium
66,4401,1.03,63.3,57.0,6.37,6.46,4.06,Paris,SI1,I,Ideal
67,416,0.3,64.8,58.0,4.24,4.16,2.72,Tel Aviv,VS2,J,Fair
68,4227,1.02,62.7,58.0,6.44,6.41,4.03,New York City,SI1,I,Premium
69,1915,0.56,61.8,56.0,5.31,5.28,3.27,London,VS2,E,Premium
70,4536,1.13,61.8,59.0,6.65,6.68,4.12,Surat,SI1,I,Premium
71,4157,1.16,58.8,61.0,6.93,6.84,4.05,Luxembourg,SI2,H,Premium
72,752,0.38,59.7,57.0,4.73,4.79,2.84,Kimberly,VS2,F,Very Good
73,5105,1.03,60.5,60.0,6.52,6.48,3.93,Antwerp,SI1,G,Premium
74,3715,0.9,62.2,54.0,6.13,6.21,3.84,Amsterdam,SI2,E,Very Good
75,1415,0.5,62.8,58.0,5.02,5.05,3.16,Las Vegas,SI1,D,Very Good
76,499,0.3,62.2,54.2,4.31,4.34,2.69,Tel Aviv,SI1,F,Ideal
77,2787,0.64,61.5,56.0,5.54,5.55,3.41,Zurich,VS1,D,Ideal
78,10485,1.24,60.4,59.0,7.02,7.01,4.24,Luxembourg,VVS1,G,Premium
79,3864,1.0,59.6,61.0,6.4,6.36,3.8,Antwerp,VVS2,J,Premium
80,593,0.31,62.1,57.0,4.34,4.32,2.69,Surat,SI2,D,Ideal
81,3988,0.93,62.8,56.0,6.19,6.27,3.91,Antwerp,SI1,H,Ideal
82,5223,1.06,62.2,55.0,6.51,6.54,4.06,Tel Aviv,SI2,E,Ideal
83,5226,1.21,62.1,57.0,6.8,6.85,4.24,New York City,SI2,G,Ideal
84,4168,0.92,62.4,60.0,6.21,6.25,3.89,Amsterdam,SI2,D,Very Good
85,489,0.31,61.9,54.0,4.34,4.38,2.7,Madrid,VS1,I,Ideal
86,18561,2.01,57.8,60.0,8.29,8.35,4.81,Zurich,VS2,H,Good
87,14674,1.51,61.9,57.0,7.37,7.34,4.55,Surat,VS1,G,Ideal
88,18358,1.83,60.5,59.0,7.89,7.99,4.8,Luxembourg,VS2,G,Very Good
89,933,0.38,62.4,59.0,4.57,4.63,2.87,Madrid,VS1,F,Premium
90,445,0.23,61.3,59.0,3.94,3.99,2.43,Antwerp,VVS2,F,Premium
91,3610,0.92,62.1,55.0,6.24,6.29,3.89,Surat,SI1,I,Ideal
92,12069,1.5,62.4,58.0,7.27,7.31,4.55,Antwerp,SI1,D,Premium
93,645,0.32,62.1,55.0,4.41,4.44,2.75,Madrid,VS1,G,Very Good
94,4372,1.0,61.2,57.0,6.39,6.48,3.94,New York City,SI2,F,Ideal
95,779,0.31,59.4,57.0,4.39,4.43,2.62,Kimberly,VVS1,F,Very Good
96,1350,0.52,58.7,64.0,5.24,5.26,3.08,Paris,SI2,F,Good
97,14998,2.01,62.5,53.9,8.04,8.07,5.04,Paris,SI2,H,Ideal
98,565,0.31,62.2,55.0,4.32,4.36,2.7,Surat,VVS2,G,Ideal
99,2086,0.77,61.0,59.0,5.94,5.99,3.64,Las Vegas,SI1,J,Very Good
100,4537,1.13,59.8,59.0,6.75,6.82,4.06,London,SI2,H,Very Good
101,16957,2.07,61.2,58.0,8.24,8.19,5.03,Paris,SI1,E,Premium
102,2443,0.71,60.3,59.0,5.79,5.76,3.48,Kimberly,VS2,G,Premium
103,7275,1.11,60.4,58.0,6.73,6.66,4.04,Kimberly,VS2,F,Ideal
104,11636,1.56,61.5,56.0,7.5,7.46,4.6,London,VS2,H,Ideal
105,457,0.34,61.6,56.0,4.47,4.51,2.76,Amsterdam,VS2,I,Very Good
106,3215,0.96,62.7,60.0,6.29,6.11,3.89,Amsterdam,SI2,G,Premium
107,942,0.31,62.3,55.0,4.35,4.32,2.7,New York City,VS2,D,Premium
108,2060,0.64,60.4,62.0,5.54,5.58,3.36,Las Vegas,VS1,G,Very Good
109,7882,1.01,62.5,58.0,6.41,6.35,3.99,Kimberly,VVS1,F,Premium
110,706,0.35,62.5,57.0,4.48,4.54,2.82,Antwerp,VVS2,H,Ideal
111,2373,0.7,62.5,60.0,5.66,5.61,3.52,Kimberly,SI2,F,Premium
112,675,0.3,62.1,54.0,4.35,4.32,2.69,London,VS1,H,Ideal
113,3137,0.71,61.1,56.0,5.78,5.81,3.53,Antwerp,VVS1,H,Ideal
114,871,0.31,61.1,57.0,4.38,4.42,2.68,Dubai,IF,G,Ideal
115,9072,2.25,61.4,54.0,8.52,8.46,5.21,Kimberly,I1,E,Ideal
116,5088,1.18,62.8,56.0,6.74,6.71,4.22,Las Vegas,SI1,I,Premium
117,6409,1.22,63.2,58.0,6.82,6.76,4.29,Tel Aviv,SI2,G,Very Good
118,12830,1.72,62.8,57.0,7.65,7.58,4.78,Surat,VS2,G,Ideal
119,18394,2.01,61.7,56.0,8.12,8.16,5.02,Las Vegas,SI2,F,Ideal
120,5581,1.03,60.1,60.0,6.55,6.52,3.93,Surat,SI1,G,Premium
121,5379,1.01,64.3,59.0,6.23,6.28,4.02,Amsterdam,SI1,E,Good
122,5242,1.0,64.6,59.0,6.3,6.26,4.06,Paris,VS1,H,Fair
123,10487,1.1,61.2,56.0,6.66,6.74,4.1,Surat,VVS2,F,Ideal
124,4208,0.59,60.9,57.0,5.4,5.43,3.3,Surat,IF,D,Ideal
125,608,0.3,63.5,59.0,4.27,4.2,2.69,Surat,VS2,H,Very Good
126,1930,0.56,61.3,55.0,5.29,5.32,3.25,New York City,VS1,E,Ideal
127,3936,0.9,61.7,62.0,6.19,6.13,3.8,Amsterdam,SI1,F,Premium
128,1732,0.57,60.7,58.0,5.37,5.33,3.25,Madrid,VS2,E,Very Good
129,2328,0.72,61.2,57.0,5.76,5.8,3.54,Luxembourg,SI2,D,Ideal
130,3511,1.0,65.5,57.0,6.26,6.21,4.08,Kimberly,SI1,H,Fair
131,1043,0.4,62.1,53.0,4.75,4.79,2.96,Zurich,VVS1,G,Ideal
132,4831,1.22,62.3,58.0,6.8,6.85,4.25,Amsterdam,SI2,I,Premium
133,8955,1.02,62.3,57.0,6.43,6.5,4.03,Madrid,IF,G,Ideal
134,5625,1.08,61.8,56.0,6.59,6.55,4.06,New York City,VS2,H,Ideal
135,1052,0.33,60.8,58.0,4.46,4.42,2.7,Kimberly,IF,G,Premium
136,1167,0.42,59.8,56.0,4.9,4.92,2.94,Amsterdam,VVS2,E,Very Good
137,2088,0.58,62.1,56.0,5.38,5.32,3.32,London,VS1,F,Ideal
138,4964,1.02,63.6,58.0,6.34,6.39,4.05,London,SI1,G,Good
139,6937,1.19,57.4,60.0,6.9,7.0,3.99,Paris,VS2,E,Good
140,15394,2.01,64.6,55.0,7.85,7.98,5.11,Dubai,SI2,D,Good
141,4915,1.15,63.1,63.0,6.67,6.57,4.18,Luxembourg,SI2,F,Very Good
142,2853,0.79,60.0,60.0,6.07,6.03,3.63,Amsterdam,SI2,D,Premium
143,842,0.32,62.9,59.0,4.39,4.36,2.75,Amsterdam,VS2,D,Premium
144,749,0.31,61.6,56.0,4.38,4.35,2.69,Tel Aviv,VS2,F,Ideal
145,1813,0.54,61.0,58.0,5.24,5.25,3.2,Kimberly,VS1,F,Very Good
146,1627,0.5,62.8,60.0,5.02,5.08,3.17,Kimberly,VS2,D,Very Good
147,5447,1.04,60.9,58.0,6.5,6.6,3.99,Paris,VS2,H,Very Good
148,10581,1.41,60.8,55.0,7.27,7.2,4.4,Las Vegas,VS2,G,Ideal
149,499,0.3,61.6,54.0,4.32,4.35,2.67,Tel Aviv,SI1,E,Ideal
150,610,0.33,61.6,55.0,4.46,4.48,2.75,Antwerp,VS1,H,Ideal
151,372,0.31,62.0,54.1,4.32,4.35,2.69,Kimberly,SI2,I,Ideal
152,3344,0.91,64.3,60.0,6.04,6.12,3.91,Antwerp,SI1,G,Good
153,2083,0.75,62.4,56.0,5.78,5.82,3.62,Tel Aviv,SI1,J,Very Good
154,886,0.3,62.1,57.0,4.26,4.3,2.66,Surat,IF,F,Very Good
155,1582,0.41,60.6,57.0,4.82,4.79,2.91,Luxembourg,VVS1,D,Ideal
156,3083,1.01,59.4,62.0,6.47,6.43,3.83,Surat,SI2,H,Premium
157,7657,1.02,63.0,58.0,6.4,6.43,4.04,Tel Aviv,VVS1,G,Very Good
158,527,0.27,62.3,53.0,4.16,4.19,2.6,Las Vegas,VS1,G,Ideal
159,2196,0.7,62.6,56.0,5.66,5.72,3.56,Madrid,SI1,F,Very Good
160,9297,1.51,62.3,57.0,7.28,7.37,4.56,Surat,VS2,I,Ideal
161,13703,2.22,62.8,57.0,8.33,8.29,5.22,Madrid,SI2,J,Ideal
162,5283,1.23,58.9,58.0,6.99,6.97,4.11,Amsterdam,SI2,D,Premium
163,3795,0.9,63.9,57.0,6.12,6.08,3.9,London,SI1,E,Good
164,2882,0.88,56.6,65.0,6.39,6.32,3.6,Madrid,SI1,F,Fair
165,2208,0.7,58.6,56.0,5.8,5.74,3.38,Paris,SI2,G,Fair
166,558,0.31,62.7,58.0,4.34,4.31,2.71,Zurich,SI1,H,Premium
167,6371,1.25,61.1,55.0,6.95,6.99,4.26,Amsterdam,SI2,G,Ideal
168,4242,1.01,59.1,59.0,6.55,6.51,3.86,Tel Aviv,SI2,G,Premium
169,487,0.28,59.5,59.0,4.29,4.35,2.57,London,VS1,E,Very Good
170,1227,0.51,61.1,59.0,5.15,5.09,3.13,Kimberly,SI2,F,Premium
171,1232,0.52,61.9,58.0,5.14,5.17,3.19,Surat,VS2,I,Ideal
172,2153,0.52,59.2,58.0,5.31,5.28,3.14,Zurich,VVS1,G,Premium
173,447,0.3,63.3,57.0,4.26,4.3,2.71,Kimberly,SI2,D,Good
174,1241,0.42,62.8,59.0,4.76,4.73,2.98,Zurich,VVS2,D,Premium
175,14749,1.82,61.6,60.0,7.78,7.74,4.78,Kimberly,VS2,H,Premium
176,2845,0.7,58.9,60.0,5.83,5.85,3.44,Surat,VS2,E,Very Good
177,12207,1.37,62.3,55.5,7.05,7.14,4.43,New York City,VVS2,G,Ideal
178,4095,1.0,62.7,59.0,6.3,6.36,3.97,Luxembourg,SI2,G,Premium
179,5722,1.2,61.1,57.0,6.83,6.86,4.18,Kimberly,SI2,G,Ideal
180,7964,1.01,62.0,59.0,6.42,6.38,3.97,Antwerp,VS1,E,Premium
181,1035,0.5,61.7,58.0,5.07,5.11,3.14,London,SI1,H,Ideal
182,7744,1.0,60.4,59.0,6.51,6.54,3.94,Surat,VS1,E,Premium
183,1061,0.31,61.4,56.0,4.38,4.41,2.7,Las Vegas,IF,F,Ideal
184,845,0.4,63.3,58.0,4.63,4.66,2.94,Amsterdam,VS2,D,Very Good
185,2964,1.05,61.4,58.0,6.53,6.46,3.99,Amsterdam,I1,E,Premium
186,5821,1.05,61.9,59.0,6.56,6.52,4.05,Las Vegas,VS2,G,Premium
187,6028,1.0,63.9,55.0,6.34,6.28,4.03,Luxembourg,VS1,G,Good
188,658,0.3,62.4,57.0,4.24,4.26,2.65,Paris,VS2,E,Very Good
189,7492,1.0,60.9,56.0,6.49,6.52,3.96,Kimberly,VVS2,G,Good
190,462,0.31,63.0,56.0,4.3,4.34,2.72,Surat,SI1,G,Very Good
191,435,0.31,61.8,58.0,4.35,4.39,2.7,Amsterdam,VS2,G,Premium
192,1646,0.6,61.5,58.0,5.38,5.41,3.32,London,SI1,F,Ideal
193,710,0.3,62.6,61.0,4.22,4.25,2.65,Kimberly,VS2,D,Very Good
194,1230,0.41,62.1,55.0,4.79,4.74,2.96,Surat,VVS1,G,Ideal
195,621,0.33,60.3,58.0,4.5,4.52,2.72,Antwerp,VS1,G,Premium
196,2895,0.7,61.8,59.0,5.66,5.76,3.53,London,VS1,F,Very Good
197,707,0.28,62.1,57.0,4.17,4.21,2.6,Las Vegas,VVS1,E,Very Good
198,1995,0.7,63.3,55.0,5.64,5.6,3.56,Antwerp,VS1,I,Very Good
199,952,0.35,60.8,57.0,4.61,4.57,2.79,Surat,VS1,D,Ideal
200,5622,1.0,61.0,57.0,6.47,6.44,3.94,Kimberly,SI1,G,Ideal
201,3634,1.0,43.0,59.0,6.32,6.27,3.97,Zurich,SI1,G,Fair
202,4844,1.0,62.6,59.0,6.29,6.33,3.95,Surat,SI1,G,Very Good
203,4177,1.03,57.6,58.0,6.6,6.67,3.82,Dubai,SI2,D,Good
204,576,0.25,62.0,59.0,3.99,4.04,2.49,Luxembourg,VVS2,F,Very Good
205,5347,1.1,60.5,57.0,6.73,6.7,4.06,Kimberly,VS2,H,Ideal
206,7708,1.03,61.7,56.0,6.45,6.56,4.0,Paris,VVS1,G,Ideal
207,10144,1.1,61.9,56.0,6.58,6.61,4.09,Dubai,VS1,D,Ideal
208,2351,0.73,60.5,57.0,5.84,5.8,3.52,Luxembourg,SI2,F,Premium
209,2487,0.71,60.3,59.0,5.75,5.79,3.48,Surat,VS1,H,Ideal
210,4407,0.7,61.0,61.0,5.69,5.72,3.48,Kimberly,VVS1,D,Good
211,12255,1.33,62.2,54.0,7.02,7.06,4.38,Antwerp,VVS1,G,Ideal
212,5506,1.15,62.0,58.0,6.77,6.66,4.16,Antwerp,SI1,H,Premium
213,2896,0.53,61.6,56.0,5.18,5.24,3.21,Zurich,VVS1,F,Ideal
214,8693,1.05,61.3,59.0,6.56,6.48,4.0,New York City,VVS2,F,Premium
215,1608,0.57,59.7,59.0,5.37,5.41,3.22,Paris,VS2,G,Premium
216,3638,0.91,60.3,59.0,6.28,6.25,3.78,Surat,SI2,E,Very Good
217,8693,1.2,61.6,60.0,6.78,6.72,4.16,Kimberly,VS2,D,Premium
218,5161,1.05,59.3,58.0,6.65,6.61,3.93,Zurich,SI1,H,Premium
219,641,0.34,62.2,55.0,4.47,4.5,2.79,Kimberly,VS2,F,Ideal
220,5439,1.19,61.7,57.0,6.84,6.77,4.2,Antwerp,VS2,I,Premium
221,942,0.53,63.6,58.0,5.08,5.11,3.24,Paris,SI2,I,Good
222,9625,1.11,61.0,57.0,6.65,6.7,4.08,Amsterdam,VS2,E,Ideal
223,918,0.32,61.1,57.0,4.41,4.43,2.7,New York City,IF,G,Ideal
224,807,0.36,61.5,55.0,4.6,4.57,2.82,Antwerp,VS2,F,Ideal
225,4454,1.03,61.8,56.0,6.49,6.46,4.0,Madrid,SI2,F,Ideal
226,668,0.33,59.5,60.0,4.54,4.5,2.69,London,VS1,I,Premium
227,2956,0.7,62.4,57.0,5.67,5.71,3.55,Paris,VS2,F,Very Good
228,900,0.32,62.0,55.0,4.46,4.38,2.74,London,VS2,E,Ideal
229,17476,2.01,60.1,60.0,8.25,8.2,4.94,Antwerp,SI1,H,Very Good
230,645,0.32,61.2,56.0,4.39,4.43,2.7,Las Vegas,VS1,G,Ideal
231,3246,0.9,64.1,56.0,6.12,6.08,3.91,London,SI2,G,Good
232,7781,1.08,61.0,57.0,6.61,6.68,4.06,Tel Aviv,VS2,F,Ideal
233,907,0.31,61.8,57.0,4.35,4.32,2.68,Las Vegas,VVS1,H,Ideal
234,5241,1.02,61.8,58.0,6.49,6.43,3.99,Antwerp,VS2,H,Premium
235,984,0.35,61.6,55.0,4.54,4.49,2.78,Surat,VS2,E,Ideal
236,586,0.32,60.9,55.0,4.46,4.53,2.72,Dubai,SI1,F,Ideal
237,14659,2.53,62.6,60.0,8.66,8.55,5.39,Surat,SI2,H,Premium
238,1668,0.55,61.4,55.0,5.29,5.26,3.24,Kimberly,SI1,E,Ideal
239,2211,0.58,61.6,57.0,5.34,5.37,3.3,Kimberly,IF,H,Ideal
240,1622,0.52,60.6,58.0,5.23,5.2,3.16,Amsterdam,VS2,E,Premium
241,3380,0.7,58.5,62.0,5.8,5.82,3.4,Zurich,VVS1,G,Good
242,1401,0.52,61.3,55.0,5.2,5.24,3.2,Paris,VS2,H,Ideal
243,764,0.3,62.7,54.0,4.3,4.34,2.71,Las Vegas,VVS1,G,Ideal
244,3041,0.71,61.7,55.0,5.73,5.77,3.55,New York City,VS1,F,Ideal
245,917,0.4,62.6,53.0,4.72,4.77,2.97,Kimberly,VVS2,G,Ideal
246,2611,1.02,61.6,55.0,6.49,6.43,3.98,Kimberly,SI2,J,Ideal
247,810,0.33,62.5,59.0,4.4,4.47,2.77,New York City,VVS2,F,Very Good
248,717,0.32,62.0,55.0,4.38,4.42,2.73,Surat,VVS2,F,Very Good
249,14256,1.5,62.1,60.0,7.27,7.31,4.53,London,VS2,E,Very Good
250,6058,1.02,63.2,57.0,6.38,6.41,4.04,Kimberly,VS2,G,Good
251,1129,0.33,61.9,57.0,4.41,4.45,2.74,Paris,IF,E,Ideal
252,2134,0.65,60.5,58.0,5.61,5.57,3.38,Kimberly,SI1,D,Premium
253,873,0.3,59.8,58.0,4.37,4.46,2.64,Dubai,IF,F,Ideal
254,5529,1.21,60.3,58.0,6.96,6.9,4.18,Luxembourg,SI2,G,Premium
255,2487,0.7,62.7,54.0,5.65,5.69,3.55,Kimberly,VVS2,I,Ideal
256,1443,0.51,61.3,59.0,5.17,5.11,3.15,Kimberly,VS2,G,Premium
257,16921,1.54,62.7,59.0,7.33,7.29,4.58,Antwerp,VS2,D,Premium
258,792,0.43,61.6,59.0,4.83,4.87,2.99,Madrid,SI1,F,Very Good
259,780,0.33,61.9,60.0,4.44,4.41,2.74,Tel Aviv,VVS1,I,Premium
260,3972,0.9,62.4,61.0,6.05,6.09,3.79,London,VVS1,I,Good
261,871,0.31,61.9,56.0,4.33,4.35,2.68,Tel Aviv,IF,G,Ideal
262,11650,1.54,58.8,60.0,7.54,7.59,4.45,Tel Aviv,SI1,F,Very Good
263,2054,0.62,61.7,54.0,5.53,5.49,3.4,Dubai,SI1,E,Ideal
264,4304,0.9,63.5,57.0,6.15,6.11,3.89,Antwerp,SI1,D,Very Good
265,651,0.36,61.5,55.0,4.59,4.62,2.83,Dubai,VS1,H,Ideal
266,1114,0.3,62.1,55.0,4.32,4.31,2.68,Madrid,VVS1,F,Ideal
267,7722,1.4,61.6,59.0,7.22,7.17,4.43,Amsterdam,VS1,I,Premium
268,10255,1.7,60.8,56.0,7.67,7.72,4.68,Antwerp,SI2,H,Very Good
269,3226,0.9,65.5,57.0,6.05,6.01,3.95,Kimberly,VS2,H,Fair
270,730,0.32,61.2,59.0,4.39,4.44,2.7,Zurich,VVS2,G,Premium
271,1002,0.33,62.7,57.0,4.45,4.38,2.77,Tel Aviv,VS1,E,Ideal
272,2523,0.73,63.3,60.0,5.65,5.7,3.59,Luxembourg,SI1,E,Very Good
273,10688,1.51,62.4,62.0,7.25,7.12,4.48,Paris,SI1,G,Premium
274,3752,1.0,61.0,59.0,6.4,6.33,3.89,Surat,SI2,E,Premium
275,4316,1.04,63.1,58.0,6.43,6.37,4.04,Zurich,SI1,H,Very Good
276,8870,1.21,60.1,55.0,7.01,6.91,4.18,Dubai,VS2,F,Premium
277,2946,0.72,62.5,57.0,5.7,5.73,3.57,Madrid,VVS1,H,Ideal
278,3002,0.83,62.1,58.0,6.01,6.04,3.74,Paris,SI1,E,Very Good
279,4883,1.17,62.3,55.0,6.74,6.77,4.21,Dubai,SI1,J,Ideal
280,598,0.28,62.0,57.0,4.19,4.23,2.61,Amsterdam,VS1,F,Ideal
281,1813,0.53,62.4,56.0,5.2,5.16,3.23,Surat,VS2,E,Ideal
282,3276,1.0,60.8,63.0,6.41,6.34,3.88,London,SI2,I,Very Good
283,1294,0.46,62.0,58.0,4.95,4.98,3.08,London,VS1,E,Premium
284,803,0.34,60.6,56.0,4.54,4.51,2.74,Surat,SI1,D,Ideal
285,658,0.3,62.9,58.0,4.22,4.24,2.66,Surat,VS2,E,Very Good
286,6666,1.01,60.4,58.0,6.47,6.51,3.92,Tel Aviv,VS2,E,Very Good
287,6738,1.26,59.6,57.0,7.08,7.04,4.21,Antwerp,SI1,G,Ideal
288,819,0.36,61.6,56.0,4.62,4.64,2.85,Surat,VS1,F,Ideal
289,12257,2.01,63.6,59.0,7.96,8.01,5.08,Kimberly,SI1,J,Good
290,882,0.4,63.5,57.0,4.72,4.7,2.99,Dubai,SI1,E,Very Good
291,663,0.42,60.9,57.0,4.83,4.86,2.95,New York City,VS1,J,Ideal
292,3423,0.91,61.3,60.0,6.17,6.2,3.79,Las Vegas,SI2,G,Premium
293,2096,0.51,62.4,54.0,5.12,5.17,3.21,Surat,IF,G,Ideal
294,758,0.32,62.5,57.0,4.34,4.39,2.73,New York City,VS2,D,Very Good
295,15278,1.77,61.6,58.0,7.78,7.71,4.77,Las Vegas,VS2,E,Premium
296,737,0.3,61.6,58.0,4.28,4.35,2.66,Dubai,VVS2,F,Premium
297,7915,1.51,63.2,59.0,7.25,7.18,4.56,London,SI2,D,Very Good
298,5206,1.01,61.6,57.0,6.44,6.49,3.98,Amsterdam,SI1,E,Ideal
299,2813,0.91,59.8,58.0,6.3,6.29,3.77,Dubai,SI2,G,Premium
300,2862,0.7,62.5,55.0,5.67,5.72,3.56,Zurich,SI1,D,Very Good
301,571,0.31,62.3,54.0,4.33,4.37,2.71,Luxembourg,SI1,D,Ideal
302,2858,0.71,61.5,60.0,5.76,5.68,3.52,Antwerp,VS2,E,Premium
303,7308,1.5,63.6,58.0,7.23,7.2,4.59,Zurich,VS2,J,Good
304,565,0.31,61.3,56.0,4.36,4.41,2.69,Las Vegas,SI1,D,Ideal
305,846,0.31,61.6,57.0,4.35,4.32,2.67,Paris,VVS1,H,Ideal
306,5485,1.06,60.8,58.0,6.59,6.54,3.99,Luxembourg,SI1,E,Premium
307,716,0.32,61.0,54.0,4.42,4.44,2.7,Tel Aviv,VS1,F,Ideal
308,5077,1.01,63.3,58.0,6.39,6.37,4.04,Kimberly,SI1,E,Very Good
309,3126,0.57,61.6,56.0,5.33,5.35,3.29,Dubai,VVS1,D,Ideal
310,4400,0.9,63.4,58.0,6.07,6.11,3.86,Surat,VS2,F,Very Good
311,1298,0.46,62.4,56.0,4.98,4.95,3.1,Madrid,VS2,D,Ideal
